username,counts,bias,type
ElHuffPost,4163.0,Center,media
DEADLINE,4127.0,Center,media
htTweets,4105.0,Center,media
lemondefr,4104.0,Center,media
Ami_Magazine,4095.0,Center,media
EuropeElects,4089.0,Center,media
HuffPostPol,4077.0,Center,media
WakeUp2Politics,4022.0,center,media
nelsonbocaranda,4018.0,Center,media
GuardianUS,4017.0,Left,media
JoeSquawk,4015.0,Right,media
RealAmVoice,4009.0,Right,media
InhofePress,4003.0,Right,media
Rkrahenbuhl,3995.0,Center,media
michaelscherer,3972.0,Center,media
LizSly,3956.0,Center,media
candicegiove,3956.0,Right,media
TheRealDaytime,3954.0,Center,media
SteveBattaglio,3942.0,Center,media
PulseNigeria247,3919.0,Center,media
SputnikInt,3907.0,Right,media
RajatSharmaLive,3905.0,Right,media
AriMelber,3883.0,Center,media
JSCCounterPunch,3870.0,Left,media
patriciajaniot,3864.0,Center,media
Valeurs,3858.0,Right,media
NPRinskeep,3855.0,Center,media
CBSSunday,3841.0,Center,media
BobMooreNews,3838.0,Center,media
NBCAsianAmerica,3828.0,Center,media
TheYoungTurks,3822.0,Left,media
reason,3822.0,Center,media
SkyNewsAust,3822.0,Right,media
marthamaccallum,3808.0,Right,media
NorahODonnell,3798.0,Center,media
edlavaCNN,3797.0,Center,media
CTmagazine,3787.0,Right,media
cnnpolitics,1725.0,Left leaning,media
breaking911,700.0,Fake news,media
ap,227.0,Left leaning,media
wattersworld,13.0,Right,media
