retweet_origin_user_id,bias,retweet_origin_username,screen_name
1260653488004042752,Right,Expat Patriot ( parler-Expatpatriot),ExpatPatriot1
22434517,Center,Hillel Neuer,HillelNeuer
561699040,Center,Jeff Segor 🇺🇸🎹 🇹🇼,JSegor
31310158,Center,National Guard,USNationalGuard
101802390,Center,US National Archives,USNatArchives
1191831959363829760,Center,Jim Inhofe,inhofeforsenate
293314112,Center,David Wright,DavidWright_7
1241331026346930176,Center,特美普,P6xkxPhDSoECbu8
1302398291364077568,Center,トータルニュースワールド,TotalWorld1
1459232030,Center,Just Security,just_security
37291805,Left,Frank Bruni,FrankBruni
23978727,Left,Okayplayer,okayplayer
1056926573541101569,Center,Skullduggery,SkullduggeryPod
330579721,Center,Greg Jaffe,GregJaffe
1163618839,Center,Andrew Solender,AndrewSolender
11179192,Center,John Schwartz,jswatz
2386350236,Center,Steven Nabil,thestevennabil
167592087,Center,Mukhtar M. Ibrahim,mukhtaryare
834078524277456897,Center,Mohamad Safa,mhdksafa
3130866934,Center,MonmouthPoll,MonmouthPoll
80903194,Center,Timothy Aeppel,TimAeppel
65659343,Center,Ajay Devgn,ajaydevgn
39644856,Center,Lily Marston,lily_marston
124352791,Left,Matt Baume,MattBaume
64764487,Center,Honeywell,honeywell
437293672,Center,Zee Bhaiyah,Zee_HumHai
89471842,Center,Smartmatic,smartmatic
299798272,Center,National Hurricane Center,NHC_Atlantic
111223756,Center,drefanzor memes,drefanzor
111082727,Center,Jeremy Schwartz,JinATX
169686021,Right,ye,kanyewest
21292523,Center,Chris Bergin - NSF,NASASpaceflight
250831586,Center,Dwayne Johnson,TheRock
582276522,Center,Atlas Air Worldwide,AtlasAirWW
14347972,Right,Mark Hemingway,Heminator
73181712,Center,U.S. Department of Justice,TheJusticeDept
754604381048344576,Left,Stop Funding Hate,StopFundingHate
2804332645,Left,Don Moynihan,donmoyn
